Datetime,TOU
6/1/18 0:00,0.07
6/1/18 0:05,0.07
6/1/18 0:10,0.07
6/1/18 0:15,0.07
6/1/18 0:20,0.07
6/1/18 0:25,0.07
6/1/18 0:30,0.07
6/1/18 0:35,0.07
6/1/18 0:40,0.07
6/1/18 0:45,0.07
6/1/18 0:50,0.07
6/1/18 0:55,0.07
6/1/18 1:00,0.07
6/1/18 1:05,0.07
6/1/18 1:10,0.07
6/1/18 1:15,0.07
6/1/18 1:20,0.07
6/1/18 1:25,0.07
6/1/18 1:30,0.07
6/1/18 1:35,0.07
6/1/18 1:40,0.07
6/1/18 1:45,0.07
6/1/18 1:50,0.07
6/1/18 1:55,0.07
6/1/18 2:00,0.07
6/1/18 2:05,0.07
6/1/18 2:10,0.07
6/1/18 2:15,0.07
6/1/18 2:20,0.07
6/1/18 2:25,0.07
6/1/18 2:30,0.07
6/1/18 2:35,0.07
6/1/18 2:40,0.07
6/1/18 2:45,0.07
6/1/18 2:50,0.07
6/1/18 2:55,0.07
6/1/18 3:00,0.07
6/1/18 3:05,0.07
6/1/18 3:10,0.07
6/1/18 3:15,0.07
6/1/18 3:20,0.07
6/1/18 3:25,0.07
6/1/18 3:30,0.07
6/1/18 3:35,0.07
6/1/18 3:40,0.07
6/1/18 3:45,0.07
6/1/18 3:50,0.07
6/1/18 3:55,0.07
6/1/18 4:00,0.07
6/1/18 4:05,0.07
6/1/18 4:10,0.07
6/1/18 4:15,0.07
6/1/18 4:20,0.07
6/1/18 4:25,0.07
6/1/18 4:30,0.07
6/1/18 4:35,0.07
6/1/18 4:40,0.07
6/1/18 4:45,0.07
6/1/18 4:50,0.07
6/1/18 4:55,0.07
6/1/18 5:00,0.07
6/1/18 5:05,0.07
6/1/18 5:10,0.07
6/1/18 5:15,0.07
6/1/18 5:20,0.07
6/1/18 5:25,0.07
6/1/18 5:30,0.07
6/1/18 5:35,0.07
6/1/18 5:40,0.07
6/1/18 5:45,0.07
6/1/18 5:50,0.07
6/1/18 5:55,0.07
6/1/18 6:00,0.07
6/1/18 6:05,0.07
6/1/18 6:10,0.07
6/1/18 6:15,0.07
6/1/18 6:20,0.07
6/1/18 6:25,0.07
6/1/18 6:30,0.07
6/1/18 6:35,0.07
6/1/18 6:40,0.07
6/1/18 6:45,0.07
6/1/18 6:50,0.07
6/1/18 6:55,0.07
6/1/18 7:00,0.07
6/1/18 7:05,0.07
6/1/18 7:10,0.07
6/1/18 7:15,0.07
6/1/18 7:20,0.07
6/1/18 7:25,0.07
6/1/18 7:30,0.07
6/1/18 7:35,0.07
6/1/18 7:40,0.07
6/1/18 7:45,0.07
6/1/18 7:50,0.07
6/1/18 7:55,0.07
6/1/18 8:00,0.07
6/1/18 8:05,0.07
6/1/18 8:10,0.07
6/1/18 8:15,0.07
6/1/18 8:20,0.07
6/1/18 8:25,0.07
6/1/18 8:30,0.07
6/1/18 8:35,0.07
6/1/18 8:40,0.07
6/1/18 8:45,0.07
6/1/18 8:50,0.07
6/1/18 8:55,0.07
6/1/18 9:00,0.07
6/1/18 9:05,0.07
6/1/18 9:10,0.07
6/1/18 9:15,0.07
6/1/18 9:20,0.07
6/1/18 9:25,0.07
6/1/18 9:30,0.07
6/1/18 9:35,0.07
6/1/18 9:40,0.07
6/1/18 9:45,0.07
6/1/18 9:50,0.07
6/1/18 9:55,0.07
6/1/18 10:00,0.07
6/1/18 10:05,0.07
6/1/18 10:10,0.07
6/1/18 10:15,0.07
6/1/18 10:20,0.07
6/1/18 10:25,0.07
6/1/18 10:30,0.07
6/1/18 10:35,0.07
6/1/18 10:40,0.07
6/1/18 10:45,0.07
6/1/18 10:50,0.07
6/1/18 10:55,0.07
6/1/18 11:00,0.07
6/1/18 11:05,0.07
6/1/18 11:10,0.07
6/1/18 11:15,0.07
6/1/18 11:20,0.07
6/1/18 11:25,0.07
6/1/18 11:30,0.07
6/1/18 11:35,0.07
6/1/18 11:40,0.07
6/1/18 11:45,0.07
6/1/18 11:50,0.07
6/1/18 11:55,0.07
6/1/18 12:00,0.07
6/1/18 12:05,0.07
6/1/18 12:10,0.07
6/1/18 12:15,0.07
6/1/18 12:20,0.07
6/1/18 12:25,0.07
6/1/18 12:30,0.07
6/1/18 12:35,0.07
6/1/18 12:40,0.07
6/1/18 12:45,0.07
6/1/18 12:50,0.07
6/1/18 12:55,0.07
6/1/18 13:00,0.07
